ID,Subject,Topic,Difficulty,Question,Choice A,Choice B,Choice C,Choice D,Answer,Solution
MATH-016,Mathematics,Integral Calculus,Easy,Evaluate ∫ (2x + 1) dx.,x² + x + C,2x² + x + C,x² + C,2x + C,x² + x + C,Integrate term by term: ∫ 2x dx = x² and ∫ 1 dx = x. Therefore ∫ (2x + 1) dx = x² + x + C.
MATH-017,Mathematics,Differential Equations,Moderate,What is the order of the differential equation d²y/dx² + 3(dy/dx) + 2y = 0?,2,1,3,0,2,"The order of a differential equation is the highest derivative present. The term d²y/dx² is a second derivative, so the order is 2."
MATH-018,Mathematics,Advanced Engineering Math,Easy,A matrix is said to be singular if its determinant is:,0,1,−1,Infinity,0,A matrix is singular (non-invertible) when its determinant equals 0. A singular matrix has no inverse and its rows are linearly dependent.
MATH-019,Mathematics,Engineering Data Analysis,Moderate,A fair coin is tossed 3 times. What is the probability of getting exactly 2 heads?,3/8,1/4,1/2,1/8,3/8,"Using Binomial Probability: P(X=k) = C(n,k)·pᵏ·(1−p)ⁿ⁻ᵏ. P(X=2) = C(3,2)·(0.5)²·(0.5)¹ = 3·(0.25)·(0.5) = 3/8."
MATH-020,Mathematics,Differential Calculus,Easy,Find dy/dx if y = ln(x).,1/x,x,1/x²,ln(x)/x,1/x,"The derivative of ln(x) is a standard result: d/dx[ln(x)] = 1/x, valid for x > 0."
MATH-021,Mathematics,Integral Calculus,Moderate,Find ∫ x·eˣ dx using integration by parts.,xeˣ − eˣ + C,xeˣ + eˣ + C,eˣ + C,x²eˣ + C,xeˣ − eˣ + C,"Integration by parts: ∫ u dv = uv − ∫ v du. Let u = x, dv = eˣ dx → du = dx, v = eˣ. Result: xeˣ − ∫ eˣ dx = xeˣ − eˣ + C."
MATH-022,Mathematics,Differential Equations,Difficult,Find the general solution of dy/dx + y = 0.,y = Ce^(−x),y = Ceˣ,y = C,y = Ce^(x²),y = Ce^(−x),Rewrite as dy/y = −dx. Integrate both sides: ln|y| = −x + C₁ → y = Ce^(−x). This is the general solution.
MATH-023,Mathematics,Advanced Engineering Math,Difficult,"Find the eigenvalues of the matrix [[3,1],[0,2]].",3 and 2,1 and 2,3 and 1,2 and 1,3 and 2,"For a triangular (upper triangular) matrix, eigenvalues are the diagonal entries. The matrix [[3,1],[0,2]] has eigenvalues λ = 3 and λ = 2."
MATH-024,Mathematics,Engineering Data Analysis,Difficult,"Compute the standard deviation of {2, 4, 4, 4, 5, 5, 7, 9}.",2,3,4,1,2,Mean = (2+4+4+4+5+5+7+9)/8 = 40/8 = 5. Variance = [(2−5)²+(4−5)²+(4−5)²+(4−5)²+(5−5)²+(5−5)²+(7−5)²+(9−5)²]/8 = [9+1+1+1+0+0+4+16]/8 = 32/8 = 4. SD = √4 = 2.
MATH-025,Mathematics,Differential Calculus,Easy,What is the critical point of f(x) = x² − 4x + 3?,x = 2,x = 4,x = 1,x = 3,x = 2,Take derivative: f'(x) = 2x − 4. Set equal to zero: 2x − 4 = 0 → x = 2. f''(x) = 2 > 0 (minimum). The critical point is x = 2.
MATH-026,Mathematics,Integral Calculus,Moderate,Evaluate ∫₀¹ (3x² − 2x) dx.,0,1,2,−1,0,∫₀¹ (3x² − 2x) dx = [x³ − x²]₀¹ = (1³ − 1²) − (0 − 0) = (1 − 1) − 0 = 0.
MATH-027,Mathematics,Differential Equations,Difficult,"Solve the DE: d²y/dx² − y = 0, given y(0) = 1, y'(0) = 0.",y = cosh(x),y = sinh(x),y = eˣ,y = cos(x),y = cosh(x),"Characteristic equation: r² − 1 = 0 → r = ±1. General solution: y = C₁eˣ + C₂e^(−x). Applying conditions y(0)=1, y'(0)=0: C₁=C₂=1/2. Since cosh(x) = (eˣ + e^(−x))/2, y = cosh(x)."
MATH-028,Mathematics,Advanced Engineering Math,Difficult,"What is the inverse of [[1,2],[3,4]]?","[[-2,1],[3/2,−1/2]]","[[4,−2],[−3,1]]","[[1,−2],[−3,4]]","[[4,2],[3,1]]","[[-2,1],[3/2,−1/2]]","For [[a,b],[c,d]], inverse = (1/det)·[[d,−b],[−c,a]]. det = (1)(4)−(2)(3) = −2. Inverse = (−1/2)·[[4,−2],[−3,1]] = [[-2,1],[3/2,−1/2]]."
MATH-029,Mathematics,Engineering Data Analysis,Easy,"What is the mean of the data set: 10, 20, 30, 40, 50?",30,25,35,40,30,Mean = sum/count = (10+20+30+40+50)/5 = 150/5 = 30.
MATH-030,Mathematics,Differential Calculus,Difficult,"Using L'Hôpital's Rule, find lim(x→0) sin(x)/x.",1,0,∞,−1,1,"Both sin(0)=0 and 0 are 0, giving 0/0. Apply L'Hôpital: lim(x→0) cos(x)/1 = cos(0) = 1."
MATH-031,Mathematics,Integral Calculus,Difficult,Find the area bounded by y = x² and y = x.,1/6,1/3,1/2,1,1/6,"Intersection: x² = x → x = 0, 1. Area = ∫₀¹ (x − x²) dx = [x²/2 − x³/3]₀¹ = 1/2 − 1/3 = 1/6."
MATH-032,Mathematics,Differential Equations,Moderate,The Wronskian of two solutions y₁ = eˣ and y₂ = e^(−x) is:,−2,2,0,1,−2,W = |y₁ y₂; y₁' y₂'| = |(eˣ)(−e^(−x)) − (e^(−x))(eˣ)| = −1 − 1 = −2.
MATH-033,Mathematics,Advanced Engineering Math,Moderate,The Laplace transform of e^(at) is:,1/(s−a),1/(s+a),a/s²,s/(s²+a²),1/(s−a),"L{e^(at)} = ∫₀^∞ e^(at)·e^(−st) dt = ∫₀^∞ e^(−(s−a)t) dt = 1/(s−a), valid for s > a."
MATH-034,Mathematics,Engineering Data Analysis,Difficult,"In a normal distribution, approximately what percent of data lies within one standard deviation of the mean?",68%,95%,99.7%,50%,68%,"The 68-95-99.7 rule (Empirical Rule) states: ~68% of data lies within ±1σ, ~95% within ±2σ, ~99.7% within ±3σ of the mean."
MATH-035,Mathematics,Differential Calculus,Difficult,Find the relative maximum of f(x) = −x² + 4x.,f(2) = 4,f(4) = 0,f(0) = 0,f(1) = 3,f(2) = 4,f'(x) = −2x + 4 = 0 → x = 2. f''(x) = −2 < 0 (maximum). f(2) = −(4) + 4(2) = −4 + 8 = 4. Maximum is at f(2) = 4.
MATH-036,Mathematics,Integral Calculus,Moderate,Evaluate ∫ sin(x) cos(x) dx.,sin²(x)/2 + C,−cos²(x)/2 + C,sin(x) + C,cos(x) + C,sin²(x)/2 + C,"Use substitution u = sin(x), du = cos(x) dx: ∫ sin(x)cos(x) dx = ∫ u du = u²/2 + C = sin²(x)/2 + C."
MATH-037,Mathematics,Differential Equations,Moderate,"Solve: dy/dx = 2xy, with y(0) = 1.",y = e^(x²),y = e^(2x),y = 2x + 1,y = x² + 1,y = e^(x²),Separate: dy/y = 2x dx. Integrate: ln|y| = x² + C → y = Ae^(x²). Apply y(0)=1: 1 = Ae⁰ = A. So y = e^(x²).
MATH-038,Mathematics,Advanced Engineering Math,Difficult,Apply Fourier series: the fundamental period of f(x) = sin(2πx) is:,1,2π,π,2,1,The period T of sin(2πx) is found from 2π/T = 2π → T = 1. The fundamental period is 1.
MATH-039,Mathematics,Engineering Data Analysis,Difficult,A bag contains 4 red and 6 blue balls. What is the probability of drawing a red ball?,2/5,3/5,1/5,4/6,2/5,Total balls = 4 + 6 = 10. P(red) = 4/10 = 2/5.
MATH-040,Mathematics,Differential Calculus,Moderate,What is the derivative of tan(x)?,sec²(x),csc²(x),−csc²(x),sec(x)tan(x),sec²(x),Using the quotient rule on tan(x) = sin(x)/cos(x): d/dx[tan(x)] = (cos²x + sin²x)/cos²x = 1/cos²x = sec²(x).
MATH-041,Mathematics,Integral Calculus,Difficult,Use integration by parts to evaluate ∫ x·ln(x) dx.,x²ln(x)/2 − x²/4 + C,x²ln(x)/2 + x²/4 + C,ln(x)/x + C,x·ln(x) − x + C,x²ln(x)/2 − x²/4 + C,"IBP: u = ln(x), dv = x dx → du = dx/x, v = x²/2. Result: (x²/2)ln(x) − ∫(x²/2)(1/x)dx = x²ln(x)/2 − ∫(x/2)dx = x²ln(x)/2 − x²/4 + C."
MATH-042,Mathematics,Differential Equations,Moderate,"What is the particular solution of dy/dx = 3x², y(0) = 2?",y = x³ + 2,y = 3x³ + 2,y = x² + 2,y = x³ − 2,y = x³ + 2,Integrate: dy/dx = 3x² → y = x³ + C. Apply y(0) = 2: 2 = 0 + C → C = 2. Particular solution: y = x³ + 2.
MATH-043,Mathematics,Advanced Engineering Math,Easy,"What is the trace of matrix [[4,1],[2,3]]?",7,10,5,12,7,"The trace of a matrix is the sum of its diagonal elements: tr([[4,1],[2,3]]) = 4 + 3 = 7."
MATH-044,Mathematics,Engineering Data Analysis,Difficult,"Calculate the variance of {3, 5, 7, 9, 11}.",8,4,6,10,8,Mean = (3+5+7+9+11)/5 = 35/5 = 7. Variance = [(3−7)²+(5−7)²+(7−7)²+(9−7)²+(11−7)²]/5 = [16+4+0+4+16]/5 = 40/5 = 8.
MATH-045,Mathematics,Differential Calculus,Easy,Find the slope of the tangent line to y = x³ at x = 2.,12,8,6,4,12,dy/dx = 3x². At x = 2: slope = 3(2²) = 3(4) = 12.
MATH-046,Mathematics,Integral Calculus,Difficult,Evaluate ∫ 1/(x²−1) dx using partial fractions.,½ ln|(x−1)/(x+1)| + C,ln|x²−1| + C,arctan(x) + C,½ ln|x+1| + C,½ ln|(x−1)/(x+1)| + C,"Partial fractions: 1/(x²−1) = 1/[(x−1)(x+1)] = A/(x−1) + B/(x+1). Solving: A = 1/2, B = −1/2. Integral = ½ ln|x−1| − ½ ln|x+1| + C = ½ ln|(x−1)/(x+1)| + C."
MATH-047,Mathematics,Differential Equations,Difficult,Find the complementary function of d²y/dx² − 5(dy/dx) + 6y = 0.,y = C₁e²ˣ + C₂e³ˣ,y = C₁e²ˣ + C₂e^(−3x),y = C₁e^(−2x) + C₂e^(−3x),y = e^(5x)(C₁ + C₂x),y = C₁e²ˣ + C₂e³ˣ,"Characteristic equation: r² − 5r + 6 = 0 → (r−2)(r−3) = 0 → r = 2, 3. General solution: y = C₁e²ˣ + C₂e³ˣ."
MATH-048,Mathematics,Advanced Engineering Math,Moderate,"Find the rank of the matrix [[1,2,3],[4,5,6],[7,8,9]].",2,3,1,0,2,"Perform row reduction on [[1,2,3],[4,5,6],[7,8,9]]: R2 → R2−4R1 = [0,−3,−6]; R3 → R3−7R1 = [0,−6,−12]; R3 → R3−2R2 = [0,0,0]. Two non-zero rows → rank = 2."
MATH-049,Mathematics,Engineering Data Analysis,Easy,"The median of the data set {5, 3, 8, 1, 9} is:",5,3,8,9,5,"Sort the data: {1, 3, 5, 8, 9}. The middle value (3rd of 5) is 5. Median = 5."
MATH-050,Mathematics,Differential Calculus,Difficult,Determine inflection points of f(x) = x³ − 3x.,x = 0,x = 1,x = −1,x = ±1,x = 0,f''(x) = 6x. Set f''(x) = 0: 6x = 0 → x = 0. Check sign change: f'' < 0 for x < 0 and f'' > 0 for x > 0. Inflection point at x = 0.
GEAS-001,GEAS,Physics,Moderate,"How much will ₱10,000 grow to after 5 years at 8% compounded annually?","₱14,693.28","₱14,000.00","₱15,000.00","₱13,500.00","₱14,693.28","Compound Interest: A = P(1 + r)ⁿ = 10,000(1.08)⁵ = 10,000 × 1.46933 = ₱14,693.28."
GEAS-002,GEAS,Chemistry,Moderate,What Republic Act governs the practice of Electronics Engineering in the Philippines?,RA 9292,RA 8792,RA 7925,RA 9711,RA 9292,Republic Act 9292 (Electronics Engineering Act of 2004) governs the practice of Electronics and Communications Engineering in the Philippines.
GEAS-003,GEAS,ECE Laws,Easy,What is the SI unit of force?,Newton,Joule,Watt,Pascal,Newton,"By Newton's Second Law, Force = mass × acceleration (F = ma). The unit is the Newton (N) = kg·m/s² in the SI system."
GEAS-004,GEAS,Engineering Management,Difficult,Avogadro's number is approximately:,6.022 × 10²³,3.011 × 10²³,12.04 × 10²³,1.00 × 10²³,6.022 × 10²³,"Avogadro's number (Nₐ ≈ 6.022 × 10²³ mol⁻¹) is the number of atoms, molecules, or particles in one mole of a substance."
GEAS-005,GEAS,Engineering Economics,Moderate,"In project management, what does PERT stand for?",Program Evaluation and Review Technique,Project Execution and Reporting Task,Program Estimation and Routing Technique,Project Evaluation and Review Tool,Program Evaluation and Review Technique,"PERT = Program Evaluation and Review Technique. It uses probabilistic time estimates (optimistic, most likely, pessimistic) to schedule projects."
GEAS-006,GEAS,Physics,Difficult,What is the speed of light in a vacuum?,3 × 10^8 m/s,3 × 10^6 m/s,3 × 10^10 m/s,343 m/s,3 × 10^8 m/s,"The speed of light in vacuum is a fundamental physical constant: c = 3 × 10⁸ m/s (exact value: 299,792,458 m/s)."
GEAS-007,GEAS,Chemistry,Easy,What is the standard atmospheric pressure at sea level in kPa?,101.325 kPa,100 kPa,1.013 kPa,10.13 kPa,101.325 kPa,"Standard atmospheric pressure is defined as 101,325 Pa = 101.325 kPa = 1 atm = 760 mmHg at sea level."
GEAS-008,GEAS,ECE Laws,Moderate,Who is known as the father of modern management?,Peter Drucker,Frederick Taylor,Henry Ford,Elton Mayo,Peter Drucker,"Peter Drucker is widely regarded as the father of modern management for his works on management theory, objectives, and knowledge workers."
GEAS-009,GEAS,Engineering Management,Difficult,Which element has the atomic number 14?,Silicon,Carbon,Germanium,Oxygen,Silicon,Atomic number = number of protons. Silicon (Si) has atomic number 14 and is the most widely used semiconductor material in electronics.
GEAS-010,GEAS,Engineering Economics,Moderate,A cost that has already been incurred and cannot be recovered is called:,Sunk cost,Opportunity cost,Fixed cost,Variable cost,Sunk cost,"A sunk cost is a past expenditure that cannot be recovered. In decision-making, sunk costs are irrelevant to future choices (sunk cost fallacy)."
GEAS-011,GEAS,Physics,Moderate,A 5 kg object accelerates at 3 m/s². What net force acts on it?,15 N,8 N,1.67 N,25 N,15 N,Newton's Second Law: F = ma = 5 kg × 3 m/s² = 15 N.
GEAS-012,GEAS,Chemistry,Easy,What is the chemical symbol for gold?,Au,Go,Ag,Gd,Au,"Au comes from the Latin word 'Aurum,' meaning gold. It is chemical element 79 on the periodic table."
GEAS-013,GEAS,ECE Laws,Difficult,"Under RA 9292, who regulates the practice of Electronics Engineering in the Philippines?",IECEP and PRC,TESDA,DICT,DOE,IECEP and PRC,"Under RA 9292, the Institute of Electronics Engineers of the Philippines (IECEP) and the Professional Regulation Commission (PRC) jointly regulate ECE practice."
GEAS-014,GEAS,Engineering Management,Moderate,Which management function involves setting objectives and determining the best way to achieve them?,Planning,Organizing,Leading,Controlling,Planning,"Planning is the management function of setting goals and determining the best course of action to achieve them. It precedes organizing, leading, and controlling."
GEAS-015,GEAS,Engineering Economics,Easy,"What is the simple interest on ₱5,000 at 6% per year for 3 years?",₱900,"₱1,000",₱750,₱600,₱900,"Simple Interest: I = Prt = ₱5,000 × 0.06 × 3 = ₱900."
GEAS-016,GEAS,Physics,Moderate,What is the kinetic energy of a 2 kg object moving at 4 m/s?,16 J,8 J,32 J,4 J,16 J,Kinetic Energy: KE = ½mv² = ½ × 2 × (4²) = ½ × 2 × 16 = 16 J.
GEAS-017,GEAS,Chemistry,Moderate,What is the pH of a neutral solution at 25°C?,7,0,14,1,7,"pH = −log[H⁺]. At neutrality, [H⁺] = [OH⁻] = 10⁻⁷ M, so pH = 7. Below 7 is acidic; above 7 is basic."
GEAS-018,GEAS,ECE Laws,Easy,What Republic Act is known as the Electronic Commerce Act of the Philippines?,RA 8792,RA 9292,RA 7925,RA 10173,RA 8792,"RA 8792 is the Electronic Commerce Act of 2000, which recognizes electronic documents, signatures, and transactions as legally valid in the Philippines."
GEAS-019,GEAS,Engineering Management,Moderate,"Maslow's Hierarchy of Needs, from lowest to highest, starts with:",Physiological needs,Safety needs,Esteem needs,Self-actualization,Physiological needs,Maslow's Hierarchy (bottom to top): Physiological → Safety → Love/Belonging → Esteem → Self-Actualization. The most basic needs must be met first.
GEAS-020,GEAS,Engineering Economics,Difficult,"What is the present worth of ₱1,000 received 3 years from now at 10% interest?",₱751.31,₱700.00,₱833.33,₱900.91,₱751.31,"Present Worth: P = F/(1+i)ⁿ = 1,000/(1.10)³ = 1,000/1.331 = ₱751.31."
GEAS-021,GEAS,Physics,Easy,What is the unit of electric charge in the SI system?,Coulomb,Ampere,Volt,Farad,Coulomb,The Coulomb (C) is the SI unit of electric charge. 1 Coulomb = charge of approximately 6.242 × 10¹⁸ electrons.
GEAS-022,GEAS,Chemistry,Moderate,How many electrons can the second energy shell of an atom hold?,8,2,18,32,8,"Electron shells follow the 2n² rule: Shell 1 holds 2, Shell 2 holds 8, Shell 3 holds 18. The second shell can hold a maximum of 8 electrons."
GEAS-023,GEAS,ECE Laws,Moderate,"Under RA 9292, what is the minimum number of CPD units required for the renewal of an ECE license per compliance period?",45 units,30 units,60 units,15 units,45 units,"Under RA 9292 and PRC regulations, licensed ECEs must complete 45 CPD (Continuing Professional Development) units per 3-year compliance period for license renewal."
GEAS-024,GEAS,Engineering Management,Difficult,The critical path in project management is the:,Longest path from start to finish,Shortest path from start to finish,Path with most resources,Path with the fewest activities,Longest path from start to finish,The critical path is the longest sequence of dependent tasks from start to finish. It determines the minimum project duration; any delay on it delays the whole project.
GEAS-025,GEAS,Engineering Economics,Moderate,"Annual depreciation using straight-line method on an asset costing ₱50,000 with ₱5,000 salvage value over 5 years is:","₱9,000","₱10,000","₱45,000","₱5,000","₱9,000","Straight-Line Depreciation: d = (Cost − Salvage)/Life = (50,000 − 5,000)/5 = 45,000/5 = ₱9,000 per year."
GEAS-026,GEAS,Physics,Difficult,A body falls freely from rest. How far does it fall in 3 seconds? (g = 9.81 m/s²),44.1 m,29.4 m,88.2 m,9.81 m,44.1 m,Free-fall distance: d = ½gt² = ½ × 9.81 × 3² = ½ × 9.81 × 9 = 44.145 ≈ 44.1 m.
GEAS-027,GEAS,Chemistry,Easy,The atomic number of Carbon is:,6,12,14,8,6,"Carbon (C) has atomic number 6, meaning it has 6 protons. It is the basis of organic chemistry and has atomic mass ≈ 12 g/mol."
GEAS-028,GEAS,ECE Laws,Difficult,Which Philippine law governs data privacy and protection?,RA 10173,RA 8792,RA 9292,RA 7925,RA 10173,RA 10173 is the Data Privacy Act of 2012. It protects personal information in government and private sector data systems in the Philippines.
GEAS-029,GEAS,Engineering Management,Moderate,What does PERT stand for?,Program Evaluation and Review Technique,Project Engineering Resource Tracking,Performance and Engineering Review Tool,Process Evaluation Review Timeline,Program Evaluation and Review Technique,PERT = Program Evaluation and Review Technique. It is used for scheduling complex projects with uncertain time estimates using probabilistic analysis.
GEAS-030,GEAS,Engineering Economics,Difficult,Benefit-cost ratio analysis recommends a project if the ratio is:,Greater than 1,Less than 1,Equal to 0,Less than 0,Greater than 1,Benefit-Cost Ratio (BCR) = PV of Benefits / PV of Costs. A project is economically justified when BCR > 1 (benefits outweigh costs).
GEAS-031,GEAS,Physics,Difficult,A wave has a frequency of 50 Hz and a wavelength of 4 m. What is its speed?,200 m/s,12.5 m/s,54 m/s,46 m/s,200 m/s,Wave speed: v = fλ = 50 Hz × 4 m = 200 m/s.
GEAS-032,GEAS,Chemistry,Difficult,Avogadro's number is approximately:,6.022 × 10²³,6.022 × 10²²,3.014 × 10²³,1.38 × 10²³,6.022 × 10²³,"Avogadro's number Nₐ ≈ 6.022 × 10²³ mol⁻¹ is the number of constituent particles (atoms, molecules) in one mole of a substance."
GEAS-033,GEAS,ECE Laws,Moderate,Which government body administers the ECE Licensure Examination in the Philippines?,PRC,IECEP,CHED,DTI,PRC,"The Professional Regulation Commission (PRC) administers all licensure examinations in the Philippines, including the ECE board exam."
GEAS-034,GEAS,Engineering Management,Easy,"In Gantt charts, horizontal bars represent:",Activity durations,Resource costs,Risk levels,Team sizes,Activity durations,"In a Gantt chart, each horizontal bar represents a project task/activity. The bar's length and position indicate the activity's start, duration, and end."
GEAS-035,GEAS,Engineering Economics,Difficult,The break-even point is where:,Total revenue = Total cost,Profit is maximum,Fixed cost = Variable cost,Revenue is zero,Total revenue = Total cost,"Break-even point: the production/sales level where total revenue equals total costs (TR = TC), resulting in zero profit or loss."
GEAS-036,GEAS,Physics,Difficult,Two charges of +2 C and +3 C are 1 m apart. What is the force between them? (k = 9×10⁹ N·m²/C²),54 × 10⁹ N,6 × 10⁹ N,9 × 10⁹ N,27 × 10⁹ N,54 × 10⁹ N,Coulomb's Law: F = k·q₁·q₂/r² = (9×10⁹)(2)(3)/1² = 54 × 10⁹ N.
GEAS-037,GEAS,Chemistry,Moderate,What type of bond holds water molecules together (intermolecular)?,Hydrogen bond,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,Water molecules are held together by hydrogen bonds (O−H···O). These are intermolecular forces; the O−H bonds within each molecule are covalent.
GEAS-038,GEAS,ECE Laws,Easy,RA 7925 is known as the:,Public Telecommunications Policy Act,Electronic Commerce Act,ECE Modernization Act,Data Privacy Act,Public Telecommunications Policy Act,RA 7925 (Public Telecommunications Policy Act of 1995) established the policy framework for telecommunications development in the Philippines.
GEAS-039,GEAS,Engineering Management,Moderate,Which leadership style delegates all decision-making to subordinates?,Laissez-faire,Autocratic,Democratic,Transactional,Laissez-faire,"Laissez-faire leadership involves minimal intervention, delegating full authority and decision-making to subordinates. Effective with highly skilled, self-motivated teams."
GEAS-040,GEAS,Engineering Economics,Moderate,"If an investment doubles in 7 years using compound interest, what is the approximate interest rate? (Rule of 72)",≈10.3%,≈7%,≈14.4%,≈5%,≈10.3%,Rule of 72: Rate ≈ 72/Years to double = 72/7 ≈ 10.3%.
GEAS-041,GEAS,Physics,Easy,What is the speed of light in vacuum?,3 × 10⁸ m/s,3 × 10⁶ m/s,3 × 10¹⁰ m/s,1.5 × 10⁸ m/s,3 × 10⁸ m/s,The speed of light in vacuum is c = 3 × 10⁸ m/s. This is a universal constant used in electromagnetic theory and relativity.
GEAS-042,GEAS,Chemistry,Difficult,Sulfuric acid (H₂SO₄) when dissolved in water acts as a:,Strong acid,Weak acid,Base,Neutral salt,Strong acid,"H₂SO₄ is a strong acid because it fully dissociates in water: H₂SO₄ → 2H⁺ + SO₄²⁻. It donates protons readily, making the solution highly acidic."
GEAS-043,GEAS,ECE Laws,Easy,Which law established the National Telecommunications Commission (NTC) in the Philippines?,EO 546,RA 7925,RA 9292,RA 8792,EO 546,Executive Order 546 (1979) created the National Telecommunications Commission (NTC) as the regulatory body for telecommunications in the Philippines.
GEAS-044,GEAS,Engineering Management,Moderate,What is the primary purpose of a work breakdown structure (WBS)?,Decompose project deliverables into manageable components,Assign budgets to team members,Track employee performance,Schedule meetings,Decompose project deliverables into manageable components,"A Work Breakdown Structure (WBS) hierarchically decomposes the total project scope into manageable deliverables and work packages, forming the basis for planning."
GEAS-045,GEAS,Engineering Economics,Easy,"What is the future value of ₱1,000 compounded annually at 5% for 2 years?","₱1,102.50","₱1,100.00","₱1,050.00","₱1,200.00","₱1,102.50","Future Value: FV = PV(1+r)ⁿ = 1,000(1.05)² = 1,000 × 1.1025 = ₱1,102.50."
GEAS-046,GEAS,Physics,Easy,What is the SI unit of power?,Watt,Joule,Newton,Pascal,Watt,The Watt (W) is the SI unit of power. 1 Watt = 1 Joule per second (J/s). Named after James Watt.
GEAS-047,GEAS,Chemistry,Difficult,What is the oxidation state of oxygen in most compounds?,−2,+2,0,−1,−2,"Oxygen's electronegativity causes it to attract electrons strongly. In most compounds (water, oxides), oxygen has an oxidation state of −2. Exceptions: peroxides (−1), OF₂ (+2)."
